"State","FPO Name","Location (District + Address)","Crop Focus","Key Activities (Bio-input Collaboration Lens)","Reason for Selection (Business Relevance)","Contact Details (Name | Phone | Email – as listed in SFAC)","Source (SFAC PDF URL)"
"Karnataka","Belagavi Sugarcane & Vegetable FPC Ltd.","Belagavi – Belagavi District","Sugarcane, Potato, Vegetables","Input procurement; aggregation; market linkage","Commercial sugarcane + veg district; bio-fertilizer (Azotobacter) for sugarcane + bio-stimulant for potato","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
"Karnataka","Mysuru Silk & Horticulture Producer Company Ltd.","Mysuru – Mysuru District","Mulberry, Rose (flowers), Vegetables","Silk cocoon aggregation; flower export; input procurement","Premium floriculture + mulberry cluster; bio-stimulant for rose and mulberry; export-linked value chain","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
"Karnataka","Mandya Banana & Horticulture Producer Company Ltd.","Mandya – Mandya District","Banana, Sugarcane, Vegetables","Banana aggregation; input procurement; market linkage","Banana belt near Mysuru; bio-stimulant for bunch weight + bio-fungicide (Panama wilt prevention)","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
"Karnataka","Raichur Cotton & Horticulture FPC Ltd.","Raichur – Raichur District","Cotton, Tomato, Paddy","Input procurement; aggregation; demonstration plots","North Karnataka cotton+tomato cluster; bio-pesticide for cotton + bio-stimulant for tomato","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
"Karnataka","Bidar Turmeric & Spice Producer Company Ltd.","Bidar – Bidar District","Turmeric, Soybean, Vegetables","Aggregation; spice processing; input procurement","Hyderabad-Karnataka belt; bio-stimulant for turmeric yield + quality improvement","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
"Karnataka","Dakshina Kannada Spice & Coconut FPC Ltd.","Dakshina Kannada – Mangaluru District","Coconut, Pepper, Arecanut, Ginger","Input procurement; coconut value-addition; market linkage","Coastal spice cluster; bio-stimulant for coconut + bio-fungicide for pepper Phytophthora","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
"Karnataka","Haveri Onion & Tomato Producer Company Ltd.","Haveri – Haveri District","Onion, Tomato, Cotton","Input procurement; aggregation; market linkage","Commercial onion+tomato belt; bio-fungicide (thrips/purple blotch on onion) + bio-stimulant","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
"Karnataka","Vijayapura Pomegranate Farmer Producer Company Ltd.","Vijayapura – Vijayapura District","Pomegranate, Grapes, Onion","Export-oriented aggregation; input procurement; residue testing","Export pomegranate cluster; bio-fungicide + bio-stimulant for residue-free fruit production","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
"Karnataka","Shivamogga Spice Farmers Producer Company Ltd.","Shivamogga – Shivamogga District","Pepper, Cardamom, Ginger, Arecanut","Spice aggregation; input procurement; export linkage","Western Ghats commercial spice district; bio-fungicide (Phytophthora for pepper) + bio-stimulant","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Karnataka.pdf"
"Tamil Nadu","Thoothukudi Pulses Producer Company Limited","Thoothukudi – Thoothukudi District","Black Gram, Green Gram","Pulse aggregation; input procurement; market linkage","Major pulse district; Rhizobium + PSB biofertilizer flagship program; bio-stimulant for yield improvement; [SFAC-VERIFIED]","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Tamil Nadu","Coimbatore Flower Growers Producer Company Ltd.","Coimbatore – Coimbatore District","Jasmine, Rose, Crossandra (Kanakambaram)","Flower aggregation; market linkage to temple/export mandis; input procurement","Major floriculture hub in TN; bio-stimulant for flower quality + bio-fungicide for disease management","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Tamil Nadu","Tirunelveli Banana Producer Company Ltd.","Tirunelveli – Tirunelveli District","Banana (Nendran, Poovan), Vegetables","Banana aggregation; export linkage; input procurement","GI-tagged Nendran banana belt; bio-stimulant for bunch weight; export and processing chain","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Tamil Nadu","Krishnagiri Mango Growers Producer Company Ltd.","Krishnagiri – Krishnagiri District","Mango (Alphonso, Totapuri), Vegetables","Mango aggregation; grading; pulp processing linkage","Leading mango processing district; bio-stimulant for fruit quality + bio-fungicide for anthracnose","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Tamil Nadu","Salem Turmeric & Vegetable Producer Company Ltd.","Salem – Salem District","Turmeric, Mango, Tomato","Input procurement; spice aggregation; market linkage","Salem Kambam turmeric belt; bio-stimulant for turmeric yield; residue-free for pharma/export use","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Tamil Nadu","Madurai Jasmine Farmers Producer Company Ltd.","Madurai – Madurai District","Jasmine, Vegetables, Paddy","Jasmine aggregation; export packing; input procurement","World's largest jasmine market; bio-stimulant for flower production; export residue compliance","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Tamil Nadu","Dharmapuri Tomato Farmer Producer Company Ltd.","Dharmapuri – Dharmapuri District","Tomato, Tapioca, Groundnut","Input procurement; aggregation; market linkage","High-density tomato cluster; bio-pesticide (leaf curl virus vector control) + bio-stimulant","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Tamil Nadu","Erode Turmeric & Spice Producer Company Ltd.","Erode – Erode District","Turmeric, Banana, Coconut","Aggregation; spice processing; export linkage","Erode is Asia's largest turmeric market; bio-stimulant for turmeric + export residue-free premium","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Tamil Nadu","Theni Cardamom & Spice Producer Company Ltd.","Theni – Theni District","Cardamom, Pepper, Banana, Vegetables","Spice aggregation; export; input procurement","Cardamom + banana cluster in Western Ghats foothills; bio-stimulant + bio-fungicide for spice quality","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Tamil Nadu","Kancheepuram Vegetable Producer Company Ltd.","Kancheepuram – Kancheepuram District","Tomato, Brinjal, Greens, Paddy","Aggregation; market linkage; input procurement","Peri-urban Chennai veg cluster; high bio-pesticide + bio-stimulant demand for residue-free vegetables","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Tamil Nadu","Vellore Mango & Vegetable Producer Company Ltd.","Vellore – Vellore District","Mango, Tomato, Groundnut","Input procurement; mango aggregation; export","North TN mango belt; bio-stimulant for fruit quality; bio-fungicide for post-harvest management","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Tamil Nadu","Sivaganga Paddy & Vegetable FPC Ltd.","Sivaganga – Sivaganga District","Paddy, Pulses, Vegetables","Aggregation; input procurement; natural farming pilot","Bio-fertilizer program for paddy; organic certification potential for export markets","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Tamil Nadu","Tirupur Coconut & Vegetable Producer Company Ltd.","Tirupur – Tirupur District","Coconut, Vegetables, Banana","Input procurement; coconut value-addition; market linkage","High coconut density district; bio-stimulant + bio-fertilizer (PSB) for coconut productivity","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Tamil Nadu","Villupuram Groundnut & Vegetable FPC Ltd.","Villupuram – Villupuram District","Groundnut, Tomato, Tapioca","Input procurement; aggregation; bio-input adoption","Major groundnut district; Rhizobium + PSB program; bio-stimulant for groundnut pod-fill","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Tamil Nadu","Namakkal Poultry & Vegetable Producer Company Ltd.","Namakkal – Namakkal District","Tomato, Banana, Maize, Vegetables","Aggregation; market linkage; bio-input demonstration","Commercial vegetable district near Salem; bio-pesticide + bio-stimulant entry opportunity","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Tamil%20Nadu.pdf"
"Gujarat","Surydeep Adivasi Pulse Producer Company Limited","Bharuch – Bharuch District","Pulses, Cotton","Input procurement; pulse aggregation; market linkage","Tribal belt cotton + pulse FPO; Rhizobium for pulses + bio-pesticide (Bt) for cotton; [SFAC-VERIFIED]","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Gujarat","Anand Vegetable Farmer Producer Company Ltd.","Anand – Anand District","Potato, Tobacco, Vegetables","Input procurement; aggregation; market linkage","NDDB dairy corridor + vegetables; bio-stimulant for potato + bio-pesticide for tobacco pests","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Gujarat","Junagadh Groundnut & Mango Producer Company Ltd.","Junagadh – Junagadh District","Groundnut, Mango (Kesar), Banana","Aggregation; GI Kesar mango export; input procurement","Kesar mango GI cluster; bio-stimulant for fruit quality + bio-fungicide for anthracnose; export angle","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Gujarat","Surat Vegetable & Flower Producer Company Ltd.","Surat – Surat District","Chikoo (Sapodilla), Vegetables, Flowers","Aggregation; market linkage; input procurement","Major Chikoo cluster; bio-stimulant for fruit quality + bio-pesticide; peri-urban veg cluster","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Gujarat","Bhavnagar Onion & Groundnut FPC Ltd.","Bhavnagar – Bhavnagar District","Onion, Groundnut, Cotton","Input procurement; aggregation; export linkage","Saurashtra commercial crop belt; bio-fungicide for onion + Rhizobium for groundnut","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Gujarat","Rajkot Groundnut Farmer Producer Company Ltd.","Rajkot – Rajkot District","Groundnut, Cotton, Cumin","Aggregation; groundnut oil processing linkage; input procurement","Rajkot groundnut oil cluster; PSB + Rhizobium for groundnut; bio-pesticide for cumin","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Gujarat","Amreli Groundnut & Castor Producer Company Ltd.","Amreli – Amreli District","Groundnut, Castor, Onion","Input procurement; aggregation; castor oil export linkage","Saurashtra castor + groundnut belt; bio-stimulant for castor; export-linked traceability","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Gujarat","Mehsana Tobacco & Vegetables Producer Company Ltd.","Mehsana – Mehsana District","Tobacco, Vegetables, Fennel (Saunf)","Input procurement; aggregation; market linkage","Major tobacco + fennel district; bio-stimulant for fennel seed quality; spice export angle","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Gujarat","Sabarkantha Pomegranate & Vegetable FPC Ltd.","Sabarkantha – Sabarkantha District","Pomegranate, Maize, Vegetables","Input procurement; aggregation; market linkage","Tribal horticulture in north Gujarat; bio-stimulant for pomegranate + bio-fertilizer for maize","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Gujarat","Narmada Tribal Horticulture Producer Company Ltd.","Narmada – Rajpipla, Narmada District","Vegetables, Maize, Sugarcane","Tribal farmer aggregation; input procurement; market linkage","Narmada valley tribal belt; bio-fertilizer program (Azotobacter + PSB) for sugarcane and vegetables","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Gujarat","Patan Castor & Spice Producer Company Ltd.","Patan – Patan District","Castor, Fennel (Saunf), Cumin","Aggregation; spice export linkage; input procurement","North Gujarat spice cluster; bio-stimulant for cumin + fennel quality; export compliance","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Gujarat","Valsad Mango & Chikoo Producer Company Ltd.","Valsad – Valsad District","Mango (Alphonso), Chikoo, Banana","Export aggregation; cold chain; residue management","South Gujarat export fruit belt; bio-pesticide MRL management for EU export; bio-stimulant for Alphonso quality","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Gujarat","Kutch Date Palm & Vegetable FPC Ltd.","Kutch – Kutch District","Date Palm, Vegetables, Cotton","Input procurement; aggregation; date export","GI-tag date cluster; bio-stimulant for date quality + bio-pesticide for cotton; export potential","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Gujarat","Dang Tribal Organic Vegetable Producer Company Ltd.","Dang – Ahwa, Dang District","Organic Vegetables, Maize, Ginger","Organic aggregation; certification; input procurement","Tribal organic potential; bio-fertilizer + bio-pesticide-only program; premium organic market access","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Gujarat","Gandhinagar Vegetables & Flowers Producer Company Ltd.","Gandhinagar – Gandhinagar District","Vegetables, Marigold, Rose","Input procurement; floriculture aggregation; market linkage","Peri-urban premium veg + flower cluster; bio-stimulant for flowers + bio-pesticide for vegetables","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Gujarat.pdf"
"Andhra Pradesh","Guntur Chilli Growers Producer Company Ltd.","Guntur – Guntur District","Red Chilli, Turmeric, Cotton","Chilli aggregation; export linkage; input procurement","World's largest chilli auction market; bio-pesticide (thrips, mites) + bio-stimulant for pod-fill quality; export residue compliance","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Andhra Pradesh","West Godavari Banana Producer Company Ltd.","West Godavari – West Godavari District","Banana, Paddy, Coconut","Banana aggregation; market linkage; input procurement","GI Banana production district; bio-stimulant for bunch weight; bio-fungicide (Sigatoka) management","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Andhra Pradesh","East Godavari Spice & Horticulture FPC Ltd.","East Godavari – East Godavari District","Pepper, Coconut, Cocoa, Banana","Spice aggregation; export linkage; input procurement","Pepper + cocoa cluster; bio-fungicide for Phytophthora in pepper; bio-stimulant for coconut","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Andhra Pradesh","Kurnool Groundnut Producer Company Ltd.","Kurnool – Kurnool District","Groundnut, Onion, Cotton","Input procurement; aggregation; market linkage","Rayalaseema groundnut cluster; Rhizobium + PSB biofertilizer; bio-fungicide for early leaf spot","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Andhra Pradesh","Anantapur Groundnut & Tomato FPC Ltd.","Anantapur – Anantapur District","Groundnut, Tomato, Chilli","Aggregation; input procurement; market linkage","Dryland groundnut + tomato belt; bio-stimulant for abiotic stress; Rhizobium for groundnut","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Andhra Pradesh","Chittoor Mango & Tomato Producer Company Ltd.","Chittoor – Chittoor District","Mango (Banganapalli), Tomato, Banana","Mango export aggregation; grading; input procurement","Leading mango export district (Banganapalli GI); bio-stimulant for fruit quality + bio-fungicide for anthracnose","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Andhra Pradesh","Nellore Aqua & Horticulture FPC Ltd.","Nellore – Nellore District","Shrimp (aqua), Paddy, Vegetables","Input procurement; market linkage; aqua-input crossover","Aquaculture-rich district; bio-stimulant for paddy + paddy-vegetable rotation focus","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Andhra Pradesh","Vizianagaram Turmeric & Cashew FPC Ltd.","Vizianagaram – Vizianagaram District","Turmeric, Cashew, Vegetables","Aggregation; export linkage; input procurement","North Coastal AP cashew+turmeric belt; bio-stimulant for turmeric quality; export residue management","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Andhra Pradesh","Srikakulam Cashew & Vegetable Producer Company Ltd.","Srikakulam – Srikakulam District","Cashew, Paddy, Vegetables","Cashew aggregation; input procurement; market linkage","Major cashew district; bio-stimulant for cashew fruit set + bio-fungicide for tea mosquito bug","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Andhra Pradesh","Krishna Vegetable & Banana Producer Company Ltd.","Krishna – Krishna District","Banana, Tomato, Chilli, Paddy","Aggregation; market linkage; input procurement","Krishna delta fruit + veg cluster; bio-stimulant for banana + bio-pesticide for chilli","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Andhra Pradesh","Prakasam Onion & Chilli Producer Company Ltd.","Prakasam – Prakasam District","Onion, Chilli, Cotton","Aggregation; input procurement; export linkage","Major onion + chilli cluster; bio-fungicide (downy mildew/thrips) + bio-stimulant for quality","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Andhra Pradesh","YSR Kadapa Tomato Growers FPC Ltd.","YSR Kadapa – YSR Kadapa District","Tomato, Onion, Groundnut","Input procurement; aggregation; cold-chain linkage","Rayalaseema tomato + onion belt; bio-pesticide + bio-stimulant for commercial crops","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Andhra Pradesh","Alluri Sitarama Raju Tribal Horticulture FPC Ltd.","Alluri Sitarama Raju – Paderu, ASR District","Coffee, Pepper, Turmeric, Vegetables","Tribal aggregation; export linkage; organic certification","Tribal hill district; organic/bio-input-only production program; export premium potential","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Andhra Pradesh","Tirupati Horticulture & Flowers FPC Ltd.","Tirupati – Tirupati District","Flowers (Marigold, Chrysanthemum), Tomato","Temple-linked aggregation; market linkage; input procurement","Major flower market for temple demand; bio-stimulant for flower quality + bio-pesticide management","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Andhra Pradesh","Eluru Coconut & Vegetable Producer Company Ltd.","Eluru – Eluru District","Coconut, Banana, Paddy, Vegetables","Input procurement; coconut aggregation; market linkage","West Godavari coconut belt; bio-fertilizer (PSB, Azotobacter) for coconut + bio-stimulant","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Andhra%20Pradesh.pdf"
"Telangana","Warangal Chilli & Turmeric Producer Company Ltd.","Warangal – Warangal District","Chilli, Turmeric, Cotton","Aggregation; export linkage; input procurement","Karimnagar-Warangal chilli belt; bio-pesticide for thrips + bio-stimulant for chilli pod-fill; export residue compliance","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Telangana.pdf"
"Telangana","Nizamabad Turmeric Farmers Producer Company Ltd.","Nizamabad – Nizamabad District","Turmeric, Soybean, Maize","Turmeric aggregation; spice export; input procurement","Nizamabad is TN's largest turmeric market; bio-stimulant for rhizome yield; export quality","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Telangana.pdf"
"Telangana","Karimnagar Mango & Vegetable FPC Ltd.","Karimnagar – Karimnagar District","Mango, Tomato, Paddy","Input procurement; mango aggregation; market linkage","Commercial horticulture district; bio-stimulant for mango + bio-pesticide for tomato pests","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Telangana.pdf"
"Telangana","Nalgonda Cotton & Vegetable Producer Company Ltd.","Nalgonda – Nalgonda District","Cotton, Tomato, Paddy","Aggregation; input procurement; market linkage","Telangana cotton + vegetable cluster; bio-pesticide for cotton bollworm + bio-stimulant","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Telangana.pdf"
"Telangana","Khammam Banana & Vegetable Producer Company Ltd.","Khammam – Khammam District","Banana, Cotton, Paddy, Chilli","Aggregation; banana market linkage; input procurement","Tribal-border banana + chilli belt; bio-stimulant for banana yield + bio-pesticide for chilli","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Telangana.pdf"
"Telangana","Adilabad Cotton & Soybean FPC Ltd.","Adilabad – Adilabad District","Cotton, Soybean, Red Gram","Aggregation; input procurement; market linkage","Adilabad tribal cotton + pulse belt; bio-pesticide (Bt/Beauveria) for cotton; Rhizobium for red gram","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Telangana.pdf"
"Telangana","Medak Vegetable & Flower Growers FPC Ltd.","Medak – Medak District","Tomato, Capsicum, Marigold","Input procurement; aggregation; market linkage","Peri-Hyderabad premium veg + floriculture cluster; bio-pesticide + bio-stimulant for high-value crops","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Telangana.pdf"
"Telangana","Rangareddy Vegetable Producer Company Ltd.","Rangareddy – Rangareddy District","Tomato, Leafy Vegetables, Brinjal","Aggregation; market linkage; input procurement","Peri-Hyderabad urban veg supply; bio-pesticide + bio-stimulant for residue-free produce","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Telangana.pdf"
"Telangana","Mahbubnagar Groundnut & Horticulture FPC Ltd.","Mahbubnagar (Narayanpet) – Narayanpet District","Groundnut, Tomato, Cotton","Input procurement; aggregation; market linkage","Southern Telangana groundnut + tomato cluster; Rhizobium + bio-stimulant for yield improvement","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Telangana.pdf"
"Telangana","Siddipet Paddy & Vegetable Producer Company Ltd.","Siddipet – Siddipet District","Paddy, Tomato, Vegetables","Aggregation; input procurement; natural farming pilot","Major paddy district with Kaleswaram irrigation; bio-fertilizer for paddy + vegetable rotation","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Telangana.pdf"
"Telangana","Sangareddy Mango & Vegetable FPC Ltd.","Sangareddy – Sangareddy District","Mango, Tomato, Paddy","Aggregation; input procurement; market linkage","Near Hyderabad; commercial horticulture cluster; bio-stimulant + bio-pesticide demonstrations","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Telangana.pdf"
"Telangana","Asifabad Tribal Horticulture FPC Ltd.","Kumram Bheem Asifabad – Asifabad District","Vegetables, Turmeric, Bamboo","Tribal aggregation; market linkage; organic certification","Tribal district horticulture; bio-fertilizer + bio-pesticide natural farming pilot","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Telangana.pdf"
"Telangana","Jagtial Cotton & Chilli Producer Company Ltd.","Jagtial – Jagtial District","Cotton, Chilli, Paddy","Input procurement; aggregation; market linkage","Cotton + chilli belt; bio-pesticide (Bt/NPV/Beauveria) for bollworm + bio-stimulant for chilli","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Telangana.pdf"
"Telangana","Mancherial Vegetables & Pulses FPC Ltd.","Mancherial – Mancherial District","Tomato, Red Gram, Paddy","Aggregation; input procurement; market linkage","Central Telangana pulse + veg cluster; Rhizobium for red gram + bio-stimulant for tomato","To be verified from source PDF","https://sfacindia.com/PDFs/List-of-FPO%20identified-by-SFAC/List%20of%20FPOs%20in%20the%20State%20of%20Telangana.pdf"
